,"docid","actualdate","earliestdate","firstpub","sales","recordid","OCLC","author","imprint","enumcron","title","birthdate","gender","nationality","othername","notes","path","recept","authsvols"
548,"uc2.ark+=13960=t4sj1bv84",1903,1903,1903,"best",6498811,4477884,"Rice, Alice Caldwell Hegan","New York|The Century Co.|1903",,"Lovey Mary",1870,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/4s/j1/bv/84/ark+=13960=t4sj1bv84/uc2.ark+=13960=t4sj1bv84.json.bz2",,27
549,"mdp.39015063977782",1902,1902,1902,"best",123880,274945,"Tarkington, Booth","New York|McClure, Phillips & co.|1902",,"The two Vanrevels",1869,"m","us",,,"mdp/pairtree_root/39/01/50/63/97/77/82/39015063977782/mdp.39015063977782.json.bz2",,207
550,"mdp.39015004288364",1908,1908,1908,"best",663357,2156255,"Churchill, Winston","New York|The Macmillan Company|1908",,"Mr. Crewe's career",1871,"m","us",,,"mdp/pairtree_root/39/01/50/04/28/83/64/39015004288364/mdp.39015004288364.json.bz2",,67
551,"mdp.39015063923869",1909,1909,1909,"best",450234,8618558,"Hough, Emerson","New York|McKinlay, Stone & Mackenzie|c1909",,"54-40 or fight",1857,"m","us",,,"mdp/pairtree_root/39/01/50/63/92/38/69/39015063923869/mdp.39015063923869.json.bz2",,68
552,"mdp.39015063920287",1925,1904,1904,"best",781864,,"Johnston, Mary","London|T. Butterworth ltd.|1925",,"Sir Mortimer, | $c: by Mary Johnston.",1870,"f","us",,"johnston, mary | sir mortimer","mdp/pairtree_root/39/01/50/63/92/02/87/39015063920287/mdp.39015063920287.json.bz2",,56
553,"uc1.32106002018924",1905,1905,1905,"best",7124587,6728413,"Vachell, Horace Annesley","London|Murray|1905",,"The Hill;",1861,"m","uk",,,"uc1/pairtree_root/32/10/60/02/01/89/24/32106002018924/uc1.32106002018924.json.bz2",,43
554,"uc2.ark+=13960=t5m904803",1901,1901,1901,"best",663882,757330,"Churchill, Winston","New York|The Macmillan company|1901",,"The crisis",1871,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/5m/90/48/03/ark+=13960=t5m904803/uc2.ark+=13960=t5m904803.json.bz2",,67
555,"njp.32101063581712",1909,1909,1909,"best",6131061,3859174,"King, Basil","New York|Harper & Brothers|1909",,"The inner shrine",1859,"m","us",,,"njp/pairtree_root/32/10/10/63/58/17/12/32101063581712/njp.32101063581712.json.bz2",,40
556,"mdp.39015013148062",1901,1901,1901,"best",114429,271000,"Bacheller, Irving","Boston|Lothrop Pub. Co.|c1901",,"D'ri and I;",1859,"m","us",,,"mdp/pairtree_root/39/01/50/13/14/80/62/39015013148062/mdp.39015013148062.json.bz2",,70
557,"uc1.b3759955",1909,1909,1909,"best",6710198,676746,"Wells, H. G","New York|Harper & brothers|1909",,"Ann Veronica",1866,"m","uk",,,"uc1/pairtree_root/b3/75/99/55/b3759955/uc1.b3759955.json.bz2",,154
558,"nyp.33433076081128",1908,1908,1908,"best",284313,,"McCutcheon, George Barr","New York;Dodd, Mead & company;1908.",,"The man from Brodney's",1866,"m","us",,"mccutcheon, george barr | the man from brodney's","nyp/pairtree_root/33/43/30/76/08/11/28/33433076081128/nyp.33433076081128.json.bz2",,90
559,"mdp.39015063739901",1903,1903,1903,"best",242927,230991,"Allen, James Lane","New York|The Macmillan company|1903",,"The mettle of the pasture",1849,"m","us",,,"mdp/pairtree_root/39/01/50/63/73/99/01/39015063739901/mdp.39015063739901.json.bz2",,75
560,"uc1.b3329009",1900,1900,1900,"best",7929377,42380311,"Thompson, Maurice","Indianapolis|Bobbs-Merrill|c1900.",,"Alice of old Vincennes",1844,"m","us",,,"uc1/pairtree_root/b3/32/90/09/b3329009/uc1.b3329009.json.bz2",,28
561,"mdp.39015014459955",1900,1900,1900,"best",1375122,606400,"Allen, James Lane","New York|Macmillan|1900",,"The reign of law",1849,"m","us",,,"mdp/pairtree_root/39/01/50/14/45/99/55/39015014459955/mdp.39015014459955.json.bz2",,75
562,"uva.x030833046",1902,1902,1902,"best",9782984,21310003,"Tarkington, Booth","New York|A. L. Burt|191-",,"The two Vanrevels",1869,"m","us",,,"uva/pairtree_root/x0/30/83/30/46/x030833046/uva.x030833046.json.bz2",,207
563,"uc1.b3549033",1903,1903,1903,"best",6672792,1712482,"Wiggin, Kate Douglas Smith","New York|Grosset & Dunlap|1903",,"Rebecca of Sunnybrook farm",1856,"f","us",,,"uc1/pairtree_root/b3/54/90/33/b3549033/uc1.b3549033.json.bz2",,119
564,"nyp.33433075744890",1905,1905,1905,"best",8666703,9295002,"Orczy, Emmuska Orczy","New York|Grosset & Dunlap|1905, reprinted 1910.",,"The Scarlet Pimpernel",1865,"f","uk",,,"nyp/pairtree_root/33/43/30/75/74/48/90/33433075744890/nyp.33433075744890.json.bz2",,38
565,"wu.89095151387",1904,1904,1904,"best",5974479,3386423,"Michelson, Miriam","Indianapolis|The Bobbs-Merrill Company|1904",,"In the bishop's carriage",1870,"f","us",,,"wu/pairtree_root/89/09/51/51/38/7/89095151387/wu.89095151387.json.bz2",,11
566,"mdp.39015063958998",1905,1905,1905,"best",168694,276191,"Wiggin, Kate Douglas Smith","Boston|Houghton Mifflin company|1905",,"Rose o' the river",1856,"f","us",,,"mdp/pairtree_root/39/01/50/63/95/89/98/39015063958998/mdp.39015063958998.json.bz2",,119
567,"mdp.39015063920121",1908,1908,1908,"best",781854,169844,"Johnston, Mary","Boston|Houghton Mifflin company|1908",,"Lewis Rand",1870,"f","us",,,"mdp/pairtree_root/39/01/50/63/92/01/21/39015063920121/mdp.39015063920121.json.bz2",,56
568,"mdp.39015002717604",1909,1909,1909,"best",1911112,1286030,"Rinehart, Mary Roberts","New York|The Review of reviews co.|c1909",,"When a man marries",1876,"f","us",,,"mdp/pairtree_root/39/01/50/02/71/76/04/39015002717604/mdp.39015002717604.json.bz2",,96
569,"mdp.39015031297982",1900,1900,1900,"best",2905004,359762,"Hewlett, Maurice","New York|The Macmillan Company|1900",,"The life and death of Richard Yea-and-Nay",1861,"m","uk",,,"mdp/pairtree_root/39/01/50/31/29/79/82/39015031297982/mdp.39015031297982.json.bz2",,142
570,"mdp.39015011402230",1908,1908,1908,"best",326656,996036,"Fox, John","New York|C. Scribner's sons|1908",,"The trail of the lonesome pine",1863,"m","us",,,"mdp/pairtree_root/39/01/50/11/40/22/30/39015011402230/mdp.39015011402230.json.bz2",,66
571,"mdp.39015063941507",1906,1906,1906,"best",246203,289262,"McCutcheon, George Barr","New York|Dodd, Mead & company|1906",,"Jane Cable",1866,"m","us",,,"mdp/pairtree_root/39/01/50/63/94/15/07/39015063941507/mdp.39015063941507.json.bz2",,90
572,"uc2.ark+=13960=fk0000004w",1903,1903,1904,"best",11715876,48412884,"Churchill, Winston","New York|Grosset and Dunlap|c1903.",,"The crossing",1871,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=f/k0/00/00/04/w/ark+=13960=fk0000004w/uc2.ark+=13960=fk0000004w.json.bz2",,67
573,"mdp.39015003930230",1906,1906,1906,"best",433126,346250,"Glasgow, Ellen Anderson Gholson","New York, N.Y.|Doubleday, Page & company|1906",,"The wheel of life",1873,"f","us",,,"mdp/pairtree_root/39/01/50/03/93/02/30/39015003930230/mdp.39015003930230.json.bz2",,102
574,"nyp.33433076048002",1907,1907,1907,"best",6498876,758057,"Rives, Hallie Erminie","Indianapolis|The Bobbs-Merrill Company|1907",,"Satan Sanderson",1876,"f","us",,,"nyp/pairtree_root/33/43/30/76/04/80/02/33433076048002/nyp.33433076048002.json.bz2",,27
575,"mdp.39015003940973",1904,1904,1904,"best",432645,1305316,"Glasgow, Ellen Anderson Gholson","New York|Doubleday, Page & co.|1904",,"The deliverance",1873,"f","us",,,"mdp/pairtree_root/39/01/50/03/94/09/73/39015003940973/mdp.39015003940973.json.bz2",,102
576,"nyp.33433076070097",1909,1909,1909,"best",7663802,,"Lane, Elinor Macartney","New York and London;Harper & brothers;c1909",,"Katrine;",1868,"f","us",,"lane, elinor macartney | katrine","nyp/pairtree_root/33/43/30/76/07/00/97/33433076070097/nyp.33433076070097.json.bz2",,6
577,"uc2.ark+=13960=t15m62b3v",1906,1906,1906,"best",7666326,4327931,"MacGrath, Harold","New York|Grosset & Dunlap|c1906.",,"Half a rogue",1871,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/15/m6/2b/3v/ark+=13960=t15m62b3v/uc2.ark+=13960=t15m62b3v.json.bz2",,51
578,"mdp.39015030855798",1908,1908,1908,"best",426213,892650,"Beach, Rex","New York|A. L. Burt co.|c1908",,"The barrier",1877,"m","us",,,"mdp/pairtree_root/39/01/50/30/85/57/98/39015030855798/mdp.39015030855798.json.bz2",,52
579,"mdp.39015059415789",1907,1907,1907,"best",160678,999440,"Nicholson, Meredith","Indianapolis|The Bobbs-Merrill company|1907",,"The Port of missing men",1866,"m","us",,,"mdp/pairtree_root/39/01/50/59/41/57/89/39015059415789/mdp.39015059415789.json.bz2",,40
580,"mdp.39015014749728",1907,1907,1907,"best",587711,270693,"Burnett, Frances Hodgson","New York|F. A. Stokes company|1907",,"The shuttle",1849,"f","uk",,,"mdp/pairtree_root/39/01/50/14/74/97/28/39015014749728/mdp.39015014749728.json.bz2",,166
581,"mdp.39015063941481",1908,1908,1908,"best",284313,1153972,"McCutcheon, George Barr","New York|Dodd, Mead & company|1908",,"The man from Brodney's",1866,"m","us",,,"mdp/pairtree_root/39/01/50/63/94/14/81/39015063941481/mdp.39015063941481.json.bz2",,90
582,"mdp.39015063938792",1909,1909,1909,"best",287741,583082,"Locke, William John","New York|A. L. Burt co.|1909",,"Septimus",1863,"m","uk",,,"mdp/pairtree_root/39/01/50/63/93/87/92/39015063938792/mdp.39015063938792.json.bz2",,103
583,"mdp.39015063927910",1901,1901,1901,"best",779936,,"Runkle, Bertha","New York;Grosset & Dunlap;c1901",,"The helmet of Navarre;",1879,"f","us",,"runkle, bertha | the helmet of navarre","mdp/pairtree_root/39/01/50/63/92/79/10/39015063927910/mdp.39015063927910.json.bz2",,4
584,"uc1.$b102395",1900,1900,1900,"best",6601802,1248709,"Johnston, Mary","Boston|Houghton, Mifflin and company|1900",,"To have and to hold",1870,"f","us",,,"uc1/pairtree_root/$b/10/23/95/$b102395/uc1.$b102395.json.bz2",,56
585,"uc2.ark+=13960=t55d8p01n",1907,1907,1907,"best",7645992,1161146,"McCutcheon, George Barr","New York|Dodd, Mead and Company|1907",,"The daughter of Anderson Crow",1866,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/55/d8/p0/1n/ark+=13960=t55d8p01n/uc2.ark+=13960=t55d8p01n.json.bz2",,90
586,"mdp.39015063927910",1901,1901,1901,"best",779936,3661560,"Runkle, Bertha","New York|Grosset & Dunlap|c1901",,"The helmet of Navarre;",1879,"f","us",,,"mdp/pairtree_root/39/01/50/63/92/79/10/39015063927910/mdp.39015063927910.json.bz2",,4
587,"mdp.39015005481349",1903,1903,1903,"best",1020785,6474431,"Norris, Frank","New York|Doubleday, Page & Co.|1903",,"The pit",1870,"m","us",,,"mdp/pairtree_root/39/01/50/05/48/13/49/39015005481349/mdp.39015005481349.json.bz2",,81
588,"mdp.39015063941473",1905,1905,1905,"best",246160,7525521,"McCutcheon, George Barr","New York|Grosset & Dunlap|1905",,"Nedra",1866,"m","us",,,"mdp/pairtree_root/39/01/50/63/94/14/73/39015063941473/mdp.39015063941473.json.bz2",,90
589,"uc2.ark+=13960=t08w39n2k",1901,1901,1901,"best",7666328,2391684,"MacGrath, Harold","New York|Grosset and Dunlap|c1901.",,"The puppet crown",1871,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/08/w3/9n/2k/ark+=13960=t08w39n2k/uc2.ark+=13960=t08w39n2k.json.bz2",,51
590,"uc2.ark+=13960=t91834w37",1909,1909,1909,"best",7665294,2412917,"MacGrath, Harold","Indianapolis|The Bobbs-Merrill Company|c1909",,"The goose girl",1871,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/91/83/4w/37/ark+=13960=t91834w37/uc2.ark+=13960=t91834w37.json.bz2",,51
591,"nyp.33433074795125",1904,1902,1902,"best",8660670,31284275,"Wister, Owen","New York|Macmillan Co.|1904",,"The Virginian",1860,"m","us",,,"nyp/pairtree_root/33/43/30/74/79/51/25/33433074795125/nyp.33433074795125.json.bz2",,72
592,"mdp.39015063977006",1908,1908,1908,"best",783526,1855072,"Vance, Louis Joseph","Indianapolis|The Bobbs-Merrill company|c1908",,"The black bag",1879,"m","us",,,"mdp/pairtree_root/39/01/50/63/97/70/06/39015063977006/mdp.39015063977006.json.bz2",,28
593,"nyp.33433074864814",1901,1900,1900,"best",8667319,5805904,"Glyn, Elinor","Leipzig|B. Tauchnitz|1901",,"The visits of Elizabeth",1864,"f","us",,,"nyp/pairtree_root/33/43/30/74/86/48/14/33433074864814/nyp.33433074864814.json.bz2",,42
594,"uc2.ark+=13960=t1jh3mj5c",1900,1900,1900,"best",7686968,2756775,"Corelli, Marie","London|Methuen & Co.|1900",,"The master-Christian",1855,"f","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/1j/h3/mj/5c/ark+=13960=t1jh3mj5c/uc2.ark+=13960=t1jh3mj5c.json.bz2",,126
595,"nyp.33433075764062",1905,1905,1905,"best",8691019,7594248,"Ward, Mary Augusta","New York|Harper & brothers|1905","v. 2","The marriage of William Ashe; a novel",1851,"f","uk",,,"nyp/pairtree_root/33/43/30/75/76/40/62/33433075764062/nyp.33433075764062.json.bz2",,190
596,"mdp.39015025019079",1909,1909,1909,"best",1911108,2746198,"Rinehart, Mary Roberts","New York|The Review of reviews co.|c1909",,"The man in lower ten",1876,"f","us",,,"mdp/pairtree_root/39/01/50/25/01/90/79/39015025019079/mdp.39015025019079.json.bz2",,96
597,"uc1.b3688438",1902,1902,1903,"best",10137393,,"Lorimer, George Horace","Boston|Small, Maynard|1902",,"Letters from a self-made merchant to his son",1869,"m","us",,,"uc1/pairtree_root/b3/68/84/38/b3688438/uc1.b3688438.json.bz2",,8
598,"inu.30000011770421",1907,1907,1907,"best",6059268,6306493,"Parker, Gilbert","London|Heinemann|1907",,"The weavers",1862,"m","ca",,,"inu/pairtree_root/30/00/00/11/77/04/21/30000011770421/inu.30000011770421.json.bz2",,156
599,"nyp.33433074879630",1906,1905,1905,"best",8665703,1665297,"Locke, William John","London|John Lane company|c1906",,"The morals of Marcus Ordeyne",1863,"m","uk",,,"nyp/pairtree_root/33/43/30/74/87/96/30/33433074879630/nyp.33433074879630.json.bz2",,103
600,"nyp.33433082266325",1900,1900,1900,"best",114430,270677,"Bacheller, Irving","Boston|Lothrop publishing company|c1900",,"Eben Holden;",1859,"m","us",,,"nyp/pairtree_root/33/43/30/82/26/63/25/33433082266325/nyp.33433082266325.json.bz2",,70
601,"nyp.33433076026172",1908,1908,1908,"best",8690441,6209999,"Smith, Francis Hopkinson","New York|C. Scribner's Sons|1908",,"Peter;",1838,"m","us",,,"nyp/pairtree_root/33/43/30/76/02/61/72/33433076026172/nyp.33433076026172.json.bz2",,155
602,"mdp.39015004288414",1903,1903,1903,"best",390380,15145313,"Fox, John","New York|C. Scribner's sons|1903",,"The little shepherd of Kingdom Come",1863,"m","us",,,"mdp/pairtree_root/39/01/50/04/28/84/14/39015004288414/mdp.39015004288414.json.bz2",,66
603,"uc1.b3295320",1904,1904,1904,"best",3151034,6695213,"White, Stewart Edward","New York|Grosset & Dunlap|1904",,"The silent places",1873,"m","us",,,"uc1/pairtree_root/b3/29/53/20/b3295320/uc1.b3295320.json.bz2",,144
604,"mdp.39015027996860",1904,1904,1904,"best",122923,5107555,"Thurston, Katherine","New York|Harper & brothers|1904",,"The masquerader",1875,"f","uk",,,"mdp/pairtree_root/39/01/50/27/99/68/60/39015027996860/mdp.39015027996860.json.bz2",,12
605,"uc2.ark+=13960=t04x59c1c",1905,1905,1905,"best",7692735,4482861,"Thurston, Katherine","New York and London|Harper & brothers|1905",,"The gambler",1875,"f","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/04/x5/9c/1c/ark+=13960=t04x59c1c/uc2.ark+=13960=t04x59c1c.json.bz2",,12
606,"uc2.ark+=13960=t3nv9hj1d",1901,1901,1901,"best",7695310,2853812,"Malet, Lucas","London|Methuen|1901",,"The history of Sir Richard Calmady",1852,"f","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/3n/v9/hj/1d/ark+=13960=t3nv9hj1d/uc2.ark+=13960=t3nv9hj1d.json.bz2",,46
607,"mdp.39015005148344",1900,1900,1900,"best",5262003,913934,"Grant, Robert","New York|C. Scribner's Sons|1900",,"Unleavened bread",1852,"m","us",,,"mdp/pairtree_root/39/01/50/05/14/83/44/39015005148344/mdp.39015005148344.json.bz2",,47
608,"mdp.39015030760691",1901,1901,1901,"best",631194,33600432,"McCutcheon, George Barr","New York|Grosset & Dunlap|c1901",,"Graustark",1866,"m","us",,,"mdp/pairtree_root/39/01/50/30/76/06/91/39015030760691/mdp.39015030760691.json.bz2",,90
609,"uc2.ark+=13960=t9q23sh58",1907,1907,1907,"best",6541658,1854342,"Vance, Louis Joseph","Indianapolis|The Bobbs-Merrill Company|1907",,"The brass bowl",1879,"m","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/9q/23/sh/58/ark+=13960=t9q23sh58/uc2.ark+=13960=t9q23sh58.json.bz2",,28
610,"uiuo.ark+=13960=t73v08j17",1874,1874,1874,"best",8719689,2481962,"Hardy, Thomas","London|Smith, Elder & Co.|1874","v.1","Far from the madding crowd",1840,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/73/v0/8j/17/ark+=13960=t73v08j17/uiuo.ark+=13960=t73v08j17.json.bz2",,282
611,"uiuo.ark+=13960=t9z03d97g",1876,1876,1876,"best",8720015,21021642,"Besant, Walter","London|Tinsley Brothers|1876","v.1","The golden butterfly",1836,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/9z/03/d9/7g/ark+=13960=t9z03d97g/uiuo.ark+=13960=t9z03d97g.json.bz2",,203
612,"mdp.39015047749448",1871,1871,1871,"best",1113050,,"Alcott, Louisa May","Boston|Roberts Brothers|1871",,"Little men",1832,"f","us",,,"mdp/pairtree_root/39/01/50/47/74/94/48/39015047749448/mdp.39015047749448.json.bz2",,79
613,"uiuo.ark+=13960=t0sq9gr3p",1875,1875,1875,"best",7690510,7969484,"Mathers, Helen","London|R. Bentley|1875","v.2","Comin' thro' the rye",1851,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/0s/q9/gr/3p/ark+=13960=t0sq9gr3p/uiuo.ark+=13960=t0sq9gr3p.json.bz2",,38
614,"mdp.39015008981394",1895,1878,1878,"best",435131,17644844,"Hardy, Thomas","New York|Harper & brothers|1895",,"The return of the native",1840,"m","uk",,,"mdp/pairtree_root/39/01/50/08/98/13/94/39015008981394/mdp.39015008981394.json.bz2",,282
615,"nyp.33433082170949",1877,1870,1870,"best",8663138,37124379,"Aldrich, Thomas Bailey","London [etc.|G. Routledge and Sons|1877",,"The story of a bad boy",1836,"m","us",,,"nyp/pairtree_root/33/43/30/82/17/09/49/33433082170949/nyp.33433082170949.json.bz2",,114
616,"uiuo.ark+=13960=t5bc47r1t",1876,1876,1876,"best",8720015,21021642,"Besant, Walter","London|Tinsley Brothers|1876","v.2","The golden butterfly",1836,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/5b/c4/7r/1t/ark+=13960=t5bc47r1t/uiuo.ark+=13960=t5bc47r1t.json.bz2",,203
617,"uc1.b3321707",1871,1871,1871,"best",7914999,11471526,"Black, William","London|Sampson Low, Marston Low, & Searle|1871","v. 2","A daughter of Heth",1841,"m","uk",,,"uc1/pairtree_root/b3/32/17/07/b3321707/uc1.b3321707.json.bz2",,279
618,"uc1.b3321708",1871,1871,1871,"best",7914999,11471526,"Black, William","London|Sampson Low, Marston Low, & Searle|1871","v. 3","A daughter of Heth",1841,"m","uk",,,"uc1/pairtree_root/b3/32/17/08/b3321708/uc1.b3321708.json.bz2",,279
619,"uc1.b4104323",1872,1872,1872,"best",6155814,1391714,"Roe, Edward Payson","New York|Dodd & Mead|1872",,"Barriers burned away",1838,"m","us",,,"uc1/pairtree_root/b4/10/43/23/b4104323/uc1.b4104323.json.bz2",,91
620,"uva.x000890487",1876,1870,1870,"best",9793535,7231602,"Dickens, Charles","London|Chapman and Hall|1876",,"The mystery of Edwin Drood",1812,"m","uk",,,"uva/pairtree_root/x0/00/89/04/87/x000890487/uva.x000890487.json.bz2",,1251
621,"uiuo.ark+=13960=t5t72p82m",1876,1876,1876,"best",8720015,21021642,"Besant, Walter","London|Tinsley Brothers|1876","v.3","The golden butterfly",1836,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/5t/72/p8/2m/ark+=13960=t5t72p82m/uiuo.ark+=13960=t5t72p82m.json.bz2",,203
622,"uc1.b3321706",1871,1871,1871,"best",7914999,11471526,"Black, William","London|Sampson Low, Marston Low, & Searle|1871","v. 1","A daughter of Heth",1841,"m","uk",,,"uc1/pairtree_root/b3/32/17/06/b3321706/uc1.b3321706.json.bz2",,279
623,"uc2.ark+=13960=t4qj79244",1877,1877,1877,"best",9360535,10412502,"Sewell, Anna","London|Jarrold and Sons|1877",,"Black Beauty",1820,"f","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/4q/j7/92/44/ark+=13960=t4qj79244/uc2.ark+=13960=t4qj79244.json.bz2",,11
624,"mdp.39015005473304",1876,1876,1876,"best",664205,4553926,"Twain, Mark","Toronto|Belford brothers|1876",,"The adventures of Tom Sawyer",1835,"m","us",,,"mdp/pairtree_root/39/01/50/05/47/33/04/39015005473304/mdp.39015005473304.json.bz2",,509
625,"uiuo.ark+=13960=t0ht37m38",1875,1875,1875,"best",7690510,7969484,"Mathers, Helen","London|R. Bentley|1875","v.1","Comin' thro' the rye",1851,"f","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/0h/t3/7m/38/ark+=13960=t0ht37m38/uiuo.ark+=13960=t0ht37m38.json.bz2",,38
626,"uiuo.ark+=13960=t44q8kt63",1874,1874,1874,"best",8719689,2481962,"Hardy, Thomas","London|Smith, Elder & Co.|1874","v.2","Far from the madding crowd",1840,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/44/q8/kt/63/ark+=13960=t44q8kt63/uiuo.ark+=13960=t44q8kt63.json.bz2",,282
627,"mdp.39015063973443",1888,1888,1888,"best",783621,9190652,"Ward, Mary Augusta","London|Smith, Elder & co.|1888","v.3","Robert Elsmere",1851,"f","uk",,,"mdp/pairtree_root/39/01/50/63/97/34/43/39015063973443/mdp.39015063973443.json.bz2",,190
628,"mdp.39015000590714",1889,1889,1889,"best",590086,4020252,"Jerome, Jerome K","Bristol|J. W. Arrowsmith|1889",,"Three men in a boat",1859,"m","uk",,,"mdp/pairtree_root/39/01/50/00/59/07/14/39015000590714/mdp.39015000590714.json.bz2",,76
629,"uiuo.ark+=13960=t1xd1j06g",1881,1880,1880,"best",8720764,176044,"Shorthouse, J. H","London|Macmillan and co.|1881","v.1","John Inglesant;",1834,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/1x/d1/j0/6g/ark+=13960=t1xd1j06g/uiuo.ark+=13960=t1xd1j06g.json.bz2",,29
630,"mdp.39015010554676",1889,1889,1889,"best",1775093,8839915,"Stevenson, Robert Louis","Leipzig|B. Tauchnitz|1889",,"The master of Ballantrae",1850,"m","uk",,,"mdp/pairtree_root/39/01/50/10/55/46/76/39015010554676/mdp.39015010554676.json.bz2",,624
631,"uc2.ark+=13960=t4hm53c95",1889,1887,1887,"best",9261017,2342355,"Wiggin, Kate Douglas Smith","Boston|Houghton, Mifflin and Company|1889",,"The Birds' Christmas Carol",1856,"f","us",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/4h/m5/3c/95/ark+=13960=t4hm53c95/uc2.ark+=13960=t4hm53c95.json.bz2",,119
632,"coo.31924013476480",1886,1886,1886,"best",11405491,2014707,"Haggard, H. Rider","Leipzig|B. Tauchnitz|1886",,"King Solomon's mines",1856,"m","uk",,,"coo/pairtree_root/31/92/40/13/47/64/80/31924013476480/coo.31924013476480.json.bz2",,121
633,"uiuo.ark+=13960=t9z03rv69",1881,1880,1880,"best",8720764,176044,"Shorthouse, J. H","London|Macmillan and co.|1881","v.2","John Inglesant;",1834,"m","uk",,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/9z/03/rv/69/ark+=13960=t9z03rv69/uiuo.ark+=13960=t9z03rv69.json.bz2",,29
634,"uc2.ark+=13960=t4bp0947s",1900,1881,1881,"best",7707793,4531007,"Stevenson, Robert Louis","New York|A. L. Burt|1900",,"Treasure Island",1850,"m","uk",,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/4b/p0/94/7s/ark+=13960=t4bp0947s/uc2.ark+=13960=t4bp0947s.json.bz2",,624
635,"uc1.b4088024",1884,1880,1880,"best",6149878,19104872,"Spyri, Johanna","New York|Platt & Peck|c1884",,"Heidi, her years of wandering and learning;",1825,"m","uk",,,"uc1/pairtree_root/b4/08/80/24/b4088024/uc1.b4088024.json.bz2",,21
636,"mdp.39015063973468",1888,1888,1888,"best",783621,9190652,"Ward, Mary Augusta","London|Smith, Elder & co.|1888","v.1","Robert Elsmere",1851,"f","uk",,,"mdp/pairtree_root/39/01/50/63/97/34/68/39015063973468/mdp.39015063973468.json.bz2",,190
637,"mdp.39015063973450",1888,1888,1888,"best",783621,9190652,"Ward, Mary Augusta","London|Smith, Elder & co.|1888","v.2","Robert Elsmere",1851,"f","uk",,,"mdp/pairtree_root/39/01/50/63/97/34/50/39015063973450/mdp.39015063973450.json.bz2",,190
638,"mdp.39015066065213",1880,1880,1880,"best",1775776,2555523,"Wallace, Lew","New York|Harper & brothers|1880",,"Ben Hur",1827,"m","us",,,"mdp/pairtree_root/39/01/50/66/06/52/13/39015066065213/mdp.39015066065213.json.bz2",,21
639,"njp.32101067643575",1884,1883,1883,"best",8961847,16749931,"Conway, Hugh","Leipzig|B. Tauchnitz|1884",,"Called back",1847,"m","uk",,,"njp/pairtree_root/32/10/10/67/64/35/75/32101067643575/njp.32101067643575.json.bz2",,17
640,"nyp.33433034410245",1887,1886,1886,"best",8609549,38453506,"Corelli, Marie","London|R. Bentley and Son|1887",,"A romance of two worlds",1855,"f","uk",,,"nyp/pairtree_root/33/43/30/34/41/02/45/33433034410245/nyp.33433034410245.json.bz2",,126
641,"uva.x030809062",1898,1885,1885,"best",9782893,21268517,"Caine, Hall","Chicago|G. M. Hill co.|1898",,"The shadow of a crime",1853,"m","uk",,,"uva/pairtree_root/x0/30/80/90/62/x030809062/uva.x030809062.json.bz2",,101
642,"uc1.b3295180",1948,1948,1948,"best",6129032,,"Smith, Betty","New York|Harper|1948",,"Tomorrow will be better; | a novel.",1896,"f","us",,"smith, betty | tomorrow will be better","uc1/pairtree_root/b3/29/51/80/b3295180/uc1.b3295180.json.bz2",,3
643,"uc1.$b802902",1940,1940,1941,"best",9950711,,"Rorick, Isabel Scott","Boston|Houghton Mifflin Co.|1941, c1940",,"Mr. and Mrs. Cugat, | the record of a happy marriage, | $c: by Isabel Scott Rorick; illustrated by Floyd A. Hardy.",1900,"f","us",,"rorick, isabel scott | mr. and mrs. cugat","uc1/pairtree_root/$b/80/29/02/$b802902/uc1.$b802902.json.bz2",,1
644,"uc1.b3727937",1948,1948,1948,"best",6704594,,"Yerby, Frank","New York|Dial Press|1948.",,"The golden hawk.",1916,"m","us",,"yerby, frank | the golden hawk","uc1/pairtree_root/b3/72/79/37/b3727937/uc1.b3727937.json.bz2",,10
