docid,author,realname,pseudonym,gender,nationality,authordate,inferreddate,firstpub,latestcomp,allcopiesofwork,copiesin25yrs,enumcron,imprint,genres,subjects,shorttitle,category
uc2.ark+=13960=t6j100k2b,"Bouilly, Jean Nicolas",,,m,fr,1763-1842.,1813,,1813,1,1,,London;Colburn;1813.,,Young women,"A father's advice to his daughter; or, Instructive narratives from real life",nonfic
uc2.ark+=13960=t1hh6mf0f,"Jewett, Mrs. Susan W ]",,,f,us,,1856,,1856,3,3,,Cincinnati;Truman and Spo,,,The old corner cupboard;,novel
njp.32101068162740,"Adams, F. Colburn (Francis Colburn)","Adams, Francis Colburn",,m,us,,1855,,1855,2,2,vol.1,London;Sampson Low;1855.,Fiction,,"Our world, or, The democrat's rule",novel
mdp.39015019429110,"Texier, Catherine",,,f,fr,b. 1947,1990,,1990,1,1,,New York|Viking|1990.,Fiction,,Panic blood,novel
uc2.ark+=13960=t46q29319,"Wilson, John Mackay",,,m,uk,1804-1835.,1857,1835,1835,31,11,v.3,Manchester;Ainsworth; (et,Fiction|UnknownGenre,Borders of Scotland|Scott,"Wilson's tales of the borders, and of Scotland;",novel
mdp.39015078783464,"Griffiths, Elly","Griffiths, Elly","de Rosa, Domenica",f,uk,b. 1963,2009,,2009,1,1,,London|Quercus|2009.,Novel|Detective and myste,Women archaeologists|Fict,The crossing places,novel
uiuo.ark+=13960=t3st83j7v,"Lewis, M. G. (Matthew Gregory)","Lewis, Matthew Gregory",,m,uk,1775-1818.,1808,,1808,2,2,v.2,London;Printed by D.N. Sh,,,Romantic tales,novel
inu.30000081189692,,,,,,,2001,,2001,1,1,,Lagos|Synergy Educational,Fiction,"Short stories, Nigerian (",The reward and other stories : selected from the third edition of the All-Nigerian Primary School Pupils Story Writing Competition,shortstories
mdp.39015062686400,"Sterling, John",,,m,uk,1805-1844,1832,,1832,2,2,v.2,London;E. Wilson;1832.,Fiction,,Fitzgeorge : a novel,novel
uc1.$b116512,"Wannan, Bill",,,m,au,1915-2003,1962,,1962,1,1,,Melbourne|Lansdowne Press,NotFiction,Australian literature|Aus,Modern Australian humour,shortstories
hvd.hwadvd,"Scott, Walter, Sir",,,m,uk,1771-1832.,1829,1828,1829,1,1,v.42,Edinburgh;Cadell & compan,Fiction,,Waverley novels,novel
njp.32101072911082,"Arnaud, Fran�ois-Thomas-Marie de Baculard d'",,,m,fr,1718-1805.,1803,,1803,2,2,vol. 8,Paris;Laporte;1803.,NotFiction,,Nouvelles historiques.,reprint
mdp.39015063963261,"Verschoyle, Catherine Mildred",,,f,uk,1874-1951,1927,,1927,1,1,,London|New York [etc.|Lon,Fiction,,Oldham; a novel,novel
nyp.33433082346044,"Langford, George",,,m,us,1876-,1921,,1921,1,1,,New York;Boni and Liverig,Fiction,,"Kutnar, son of Pic",juvenile
pst.000005412082,"Howard, Frederick James",,,m,uk,1904-,1930,1928,1930,1,1,,London|New York [etc.|Lon,NotFiction,,The emigrant,novel
uc1.$b115288,"Jos�, F. Sionil (Francisco Sionil)",,,m,fi,1924-,1962,,1960,1,1,,Manila|A.D. Benipayo|1962,Fiction,,The pretenders & eight short stories,shortstories
uva.x030802569,"Abbott, Jacob",,,m,us,1803-1879.,1871,1857,1871,1,1,,New York;Sheldon;1871.,NotFiction,,Causey building,nonfic | reprint
mdp.39015010950544,"Sherwood, (Mary Martha), 1775-1851, Mrs",,,f,uk,1775-1851.,1827,1820,1827,2,2,,Wellington;Salop;Printed ,UnknownGenre|NotFiction,,"The governess; or, The little female academy",juvenile
uc1.b254220,,,,,,,1815,,1815,2,2,v. 3,London;Printed for Longma,,,Varieties of life;,novel
njp.32101079836282,"Stebbins, Callie B",,,f,,,1908,,1908,1,1,,"Lamoni, Iowa;Herald Publi",NotFiction,,"The silver thimble ; and, The happiest Christmas / by Callie B. Stebbins",juvenile
njp.32101067627867,"Arthur, T. S. (Timothy Shay)","Arthur, Timothy Shay",,m,us,1809-1885.,1843,,1843,3,3,,Philadelphia;Henry F. Ann,Fiction,,Lovers and husbands: a story of married life,novel
hvd.rslysq,"Hays, Mary",,,,,1759 or 60-1843.,1803,,1803,1,1,,London;Printed for Richar,NotFiction,Women|Biography,"Female biography; or, memoirs of illustrious and celebrated women, of all ages and countries",nonfic
inu.32000000646036,"Sue, Eug�ne",,,m,fr,1804-1857.,1844,,1844,2,2,v.3-4,London;Chapman and Hall;1,NotFiction,,The wandering Jew,novel
mdp.39015063268497,"Mesler, Corey",,,,,,2005,,2005,1,1,,"Livingston, AL|Livingston",NotFiction,Fiction,We are billion-year-old carbon : a tribal-love-rock-novel set in the sixties on an outpost planet called Memphis,novel
inu.32000002882670,"Oliphant, Mrs. (Margaret)","Oliphant, Margaret",,f,uk,1828-1897.,1880,,1880,7,7,,"Chicago;Belford, Clarke &",Fiction|NotFiction,,The Ladies Lindores,novel
uc1.$b242644,"Manning, Rosemary",,,f,uk,1911-1988,1960,,1960,1,1,,London|J. Cape|1960.,Fiction,,"Look, stranger",novel
mdp.39015016424148,"Helme, Elizabeth",,,f,uk,d. 1816.,1805,,1805,4,4,v.2,Brentford;Printed by and ,Fiction,,"The pilgrim of the cross : or, The chronicles of Christabelle de Mowbray : an ancient legend",novel
uc1.b4360963,"Weisman, John",,,m,us,b. 1942,1987,,1987,1,1,,"New York, N.Y., U.S.A.|Vi",Fiction,Israel|Fiction|Americans|,Blood cries,novel
uiuo.ark+=13960=t7hq4g562,"Mangin, Edward",,,m,uk,1772-1852.,1807,,1807,3,3,v.3,London;Printed for James ,,Fiction|George|1738-1820|,George the third,novel
uc1.b4105203,"Hardy, Thomas",,,m,uk,1840-1928.,1887,,1887,24,7,v.3,London;New York;Macmillan,NotFiction|Novel|Pastoral,19th century|Social life ,The woodlanders,novel
mdp.39015047872398,"Wall, Alan",,,m,uk,b. 1783.,1999,,1999,1,1,,London|Secker & Warburg|1,Psychological fiction|Fic,Literary historians|Poets,The lightning cage,novel
mdp.39015057087648,"Reuter, Fritz",,,m,de,1810-1874.,1868,1867,1868,1,1,,Leipzig;B. Tauchnitz;New ,NotFiction,,In the year '13: a tale of Mecklenburg life,novel
hvd.hnnzl8,"Friedrich Heinrich Karl, | Freiherr de, La Motte-Fouqu�","De la Motte, Friedrich Heinrich Karl, Baron Fouqu�",,m,de,1777-1843.,1845,,1843,1,1,,Philadelphia;E. Ferrett a,NotFiction,,Wild love. A romance,novel
uiuo.ark+=13960=t7qn6pk7b,,"St. John, Lady Isabella Frances",,f,uk,1792-1875,1836,,1836,1,1,v.2,London;R. Bentley;1836.,,,"Mrs. Cleveland, and the St. Clairs, &c",shortstories
uiuo.ark+=13960=t10p1rt7k,"Davenport, Selina",,,f,uk,1779-1859,1818,,1818,4,4,v.4,London;Printed at the Min,,,An angel's form and a devil's heart,novel
uc1.b4463842,"Markus, Julia",,,f,us,1939-,1976,,1976,1,1,,Washington|Decatur House ,Fiction,,La Mora : a novel,novel
nnc1.1002272601,,,,u,uk,,1860,,1860,1,1,v.1,London;1860.,NotFiction,,Elfie in Sicily,novel
uc2.ark+=13960=t2d796f7k,,"Weir, Harrison",,m,uk,1824-1906,1870,,1870,1,1,,London;Griffith and Farra,,,"Favourite fables, in prose and verse",juvenile | shortstories
hvd.32044004973814,"Neal, John",,,m,us,1793-1876.,1825,,1825,3,3,v.2,Edinburgh;W. Blackwood; [,Fiction,,"Brother Jonathan: or, The New Englanders",novel
uc1.$b358650,"Lytton, Edward Bulwer Lytton, Baron",,,m,uk,1803-1873.,1852,1829,1852,1,1,v. 1,London;New York;G. Routle,NotFiction,,; Devereux. Godolphin,reprint
uc1.31158001441749,"Maturin, Charles Robert",,,m,uk,1782-1824.,1821,1820,1821,8,3,v.0001,Edinburgh;A. Constable an,Bibliographies|Fiction|Un,,Melmoth the wanderer: a tale,novel
uc2.ark+=13960=t1rf5nw94,"Macdonald, Frederika",,,f,uk,1845-1923,1914,,1914,1,1,,London;Edinburgh;T. C. & ,,"Heger, Z|Mme|Heger, Const",The secret of Charlotte Bront?? followed by some reminiscences of the real Monsieur and Madame Heger,nonfic
uiuo.ark+=13960=t9h427g45,"Jefferies, Richard",,,m,uk,1848-1887.,1882,,1882,4,3,v.2,"London;Sampson Low, Marst",Fiction,,Bevis,juvenile
njp.32101068142791,"Howells, William Dean",,,m,us,1837-1920.,1876,,1876,1,1,,Boston;James R. Osgood;18,Fiction,,A day's pleasure,shortstories
nyp.33433082285945,"Stratemeyer, Edward",,,m,us,1862-1930.,1902,1894,1902,1,1,,Boston;Lee and Shepard;19,NotFiction,,"Richard Dare's venture; or, Striking out for himself",juvenile
osu.32435055406557,"Marlowe, Stephen",,,m,us,1928-2008.,1962,,1962,1,1,,"Greenwich, Conn.|Fawcett|",Fiction,,Jeopardy is my job,novel
osu.32435004561866,"Hunt, Frederick",,"Fitzgay, John",m,us,1892-,1947,,1947,1,1,,New York|Roy publishers|1,Fiction,Caroline Mathilde|Fiction,"Royal physician, an historical novel",novel
inu.39000001424931,"Ajayi, Tolu",,,m,ni,b. 1946,1985,,1985,1,1,,"Lagos, Nigeria|Granny Fat",Fiction,,The lesson : a novel,novel
uc1.$b521788,"Hugo, Victor",,,m,fr,1802-1885.,1892,,1885,1,1,v. 16,Philadelphia;G. Barrie;c1,NotFiction,,"The novels, complete and unabridged, of Victor Hugo",reprint
nyp.33433074871793,"Kenealy, Edward Vaughan","Keanely, Edward Vaughan Hyde",,m,uk,1819-1880.,1869,,1869,6,6,v. 3,London;T. C. Newby;1869.,Fiction|NotFiction,"1713-1776|Montagu, Edward",Edward Wortley Montagu. An autobiography [ficious],novel
nyp.33433006216364,"Reeder, A. P",,,u,us,,1888,,1888,2,2,,San Francisco;Carson;1888,Fiction,,Around the golden deep : a romance of the Sierras,novel
osu.32435069549608,"Skinner, John",,,m,us,1914-,1959,,1959,1,1,,Boston|Christopher Pub. H,NotFiction,,Spare not for their crying,novel
mdp.49015002138023,"Meredith, George",,,m,uk,1828-1909.,1896,1860,1896,1,1,v.6,London;Constable;1909-11,Bibliographies|NotFiction,,Evan Harrington; a novel,reprint
nyp.33433074930110,"Bront�, Charlotte",,"Bell, Currer",f,uk,1816-1855.,1849,,1849,8,2,v. 2,Leipzig;B. Tauchnitz;1849,Novel|Fiction|NotFiction,English fiction,Shirley : a tale,novel
pst.000005739998,"Lange, Carl W",,,m,,,1956,,1956,1,1,,New York|AP Books|1956.,NotFiction,,The other horizon,novel
nyp.33433074824370,"Batchelor, David O. (David Oren)",,,m,us,1865-,1910,,1910,1,1,,"Boston;Sherman, French & ",Fiction,To 1548|History|Fiction,The unstrung bow : a story of conquest,novel
uc1.b3711256,"Levin, Meyer",,,m,us,1905-1981.,1968,1967,1967,3,3,,New York|Simon and Schust,Fiction,,Gore and Igor; an extravaganza,novel
mdp.39015030709128,"Read, Opie Percival",,,m,us,1852-1939.,1914,,1914,2,2,,Chicago;The Reilly & Brit,NotFiction,,The new Mr. Howerson,novel
uc1.b3548053,"Reade, Charles | Boucicault, Dion",,,m,uk,1814-1884 | 1820-1890,1875,1869,1875,1,1,,New York;Harper;1875.,Fiction,,Foul play : a novel,novel
nyp.33433082361951,"Johnson, Rossiter",,,m,us,1840-1931.,1892,,1892,1,1,,New York;C. Scribner's so,Juvenile audience|Fiction,,The end of a rainbow; an American story,juvenile
mdp.39015031311270,"Stern, G. B. (Gladys Bronwyn)","Stern, Gladys Bertha",,f,uk,1890-1973.,1922,,1922,3,3,,New York;A. A. Knopf;1922,Fiction,,The room,novel
uc1.$b86997,"Buck, Pearl S. (Pearl Sydenstricker)","Buck, Pearl Sydenstricker",,f,us,1892-1973.,1951,,1951,2,2,,New York|J. Day Co.|1951,Fiction,,God's men,novel
mdp.39015059376718,"Colcord, Lincoln",,,m,us,1883-1947.,1922,,1922,1,1,,New York;Macmillan;1922.,Fiction,,"An instrument of the gods, and other stories of the sea",novel
mdp.39015022638202,"Heather, John Fry",,,,,d. 1886.,1851,,1851,1,1,plates,London;J. Weale;1851.,NotFiction,"Geometry, Descriptive",An elementary treatise on descriptive geometry,nonfic
uiuo.ark+=13960=t73v05w2z,"Pinkney, Jane Vaughan",,,f,uk,1827-1856,1850,,1850,3,3,v.1,London;T.C. Newby;1850.,,,Sir Arthur Bouverie,novel
nyp.33433075786222,"Weyman, Stanley John","Weyman, Stanley John",,m,uk,1855-1928.,1894,,1894,9,8,,Leipzig;B. Tauchnitz;1894,Fiction|NotFiction,France|Fiction|Fiction|Ri,Under the red robe,novel
yale.39002009846560,"Wilkinson, Eliza (Eliza Yonge)",,,f,us,,1839,,1839,3,1,,New York;S. Colman;1839.,NotFiction,"Revolution, 1775-1783|His","Letters of Eliza Wilkinson, during the invasion and possession of Charleston, S.C., by the British in the Revolutionary War",nonfic
inu.30000010414385,"Colum, Padraic",,,m,uk,1881-1972.,1907,,1907,1,1,,"Dublin;Maunsel & co., ltd",NotFiction,,Studies,shortstories
mdp.39015005003499,"Bawden, Nina",,,f,uk,1925-2012.,1968,,1968,3,3,,New York|Harper & Row|196,Fiction,,The grain of truth,novel
uiuo.ark+=13960=t3qv3sr65,"Bristow, Amelia",,,f,uk,b. 1783.,1828,,1828,2,2,v.1,London;T. Gardiner and So,,,Emma de Lissau,novel
uc1.b4392661,Caturbhujami?ra,,,u,in,,1848,,1848,1,1,,Calcutta;W. Ridsdale;1848,NotFiction,,The Prem sagur,nonfic
uc1.$b56745,"Grey, Robert Munson",,,m,us,,1937,,1937,1,1,,"Chicago|Willett, Clark|19",NotFiction,,"I, Yahweh, a novel in the form of an autobiography",novel
uc1.$b404102,"Coxhead, Nona",,,f,au,1914-1998,1968,,1968,1,1,,New York|B. Geis Associat,Fiction,,The monkey-puzzle tree; a novel,novel
mdp.39015040571328,"Rossner, Judith",,,f,us,1935-2005,1997,,1997,1,1,,New York|Nan A. Talese|19,Domestic fiction|Fiction|,New Mexico|Mothers and da,Perfidia : a novel,novel
mdp.39015077145541,"Gray, Clio",,,f,uk,,2008,,2008,1,1,,London|Headline|2008.,Fiction|Detective and mys,Fiction|Investigation|Sto,Envoy of the black pine,novel
mdp.39015018519523,"Sudarshan, Vanchinathan",,,m,in,1962-,1988,,1988,1,1,,Calcutta|Writers Workshop,Fiction,,A sense of ending : ten stories,nonfic
uc1.b287480,"Moore, Thomas George",,,m,uk,,1809,,1809,3,3,v. 1,London;Printed for H. Col,,,The bachelor,novel
mdp.39015028390121,"Scott, Walter, Sir",,,m,uk,1771-1832.,1829,1818,1829,1,1,v.11,Edinburgh;R. Cadell;1829-,Fiction,,Waverley novels,reprint
uiuo.ark+=13960=t2b85x205,"Surr, T. S","Surr, Thomas Skinner",,m,uk,1770-1847.,1807,,1807,2,2,v.1,London;Hughes;1807.,,,The mask of fashion;,novel
uc1.$b323021,"Benefield, Barry",,,m,us,1877-1971,1935,,1935,2,2,,New York|Reynal & Hitchco,NotFiction,,Valiant is the word for Carrie,novel
uiuo.ark+=13960=t6rx9x944,"Robinson, F. W. (Frederick William)","Robinson, Frederick William",,m,uk,1830-1901,1872,,1872,3,3,v.3,London;Hurst and Blackett,,,"Wrayford's ward, and other tales",shortstories
nyp.33433066655733,"Ritchie, Leitch",,,m,uk,1800-1865.,1831,,1831,2,2,v. 1-2,New York;J. & J. Harper;1,Fiction|NotFiction,Fiction|History,The romance of history. France,nonfic
mdp.39015059423064,"Kelly, William Henry",,,m,us,1864-1939.,1940,,1939,1,1,,"Boston|B. Humphries, inc.",Fiction,,"Facts, fables, and fancies",nonfic
uc1.b4104109,"Porter, Jane",,,f,uk,1776-1850.,1810,1809,1810,14,7,v. 2,New York;D. Longworth;181,Fiction|NotFiction,Sir|King of Scots|1274-13,The Scottish chiefs : a romance : five volumes in two,novel
mdp.39015014538360,"Abbas, Zainab Ghulam",,,m,pk,,1957,,1957,3,3,,Karachi|Pakistan Publicat,NotFiction,Folklore|Pakistan|India|T,Folk tales of Pakistan,shortstories
uiuo.ark+=13960=t58d0m350,"Burdett, C. D, Mrs",,,f,uk,,1828,,1828,3,3,v.3,London;H. Colburn;1828.,,,At home,novel
uiuo.ark+=13960=t46q2jv9x,"Harley, St. John",,,m,,,1876,,1876,3,3,v.3,London;Tinsley Brothers;1,,,Eunice,novel
mdp.39015025280705,"Dillard, Annie",,,f,us,b. 1945,1992,,1992,2,2,,New York|HarperCollins Pu,Fiction|Historical fictio,Large type books|Fiction|,The living,novel
uiuo.ark+=13960=t54f2dt68,"Scotus, Johannes",,,m,,,1862,,1862,2,2,v.2,"London;Saunders, Otley, a",,,The weird of the Wentworths;,novel
uiuo.ark+=13960=t5k93g516,"Burney, Sarah Harriet",,,f,uk,1772-1844.,1816,,1816,7,7,v.1,London;H. Colburn;1816-18,Fiction,,Tales of fancy,novel
uc1.b3295282,"Watkins, Wal",,,,au,1922-,1963,,1963,1,1,,Adelaide|Rigby|1963.,Fiction,,Race the lazy river,novel
hvd.hxkelx,"Brunton, Mary",,,f,uk,1778-1818.,1811,,1811,9,7,v.1,Edinburgh;Printed by G. R,Fiction|NotFiction,,Self-control: a novel,novel
inu.30000107396149,"Morountonu, Femi",,,f,,1967-,2003,,2003,1,1,,"Osogbo, Osun State [Niger",Fiction,,This is our time,novel
mdp.39015059404007,"Harr�, Thomas Everett",,,m,us,1884-1948,1935,,1935,1,1,,New York|The Macaulay com,Fiction,"1818-1861|Montez, Lola|Fi",The heavenly sinner; the life and loves of Lola Montez,novel
uc2.ark+=13960=t4pk09h5t,"Hughes, Rupert",,,m,us,1872-1956.,1915,,1915,1,1,,New York;A.L. Burt;c1915.,,,Empty pockets,novel
uiuo.ark+=13960=t56d67620,"Francis, Sophia L",,"Francis, Sophia L",f,uk,,1809,,1809,4,4,v.4,London;H. Colburn;1809.,,,"Angelo Guicciardini, or, The bandit of the Alps",novel
njp.32101068176690,"Davies, Christiana Jane",,,f,,1822 or 3-1891,1854,,1854,3,3,v.2,London;Hurst and Blackett,,,The History of Herbert Lake,novel
hvd.hwjw3g,"Edgeworth, Maria",,,f,uk,1767-1849.,1821,1801,1821,11,4,v.1,London;R. Hunter and Bald,Juvenile audience|Fiction,English fiction|Conduct o,Moral tales,juvenile | shortstories
mdp.39015028917642,"A?sala, Kusuma",,,f,,,1993,,1993,1,1,,New Delhi|Har-Anand Publi,Fiction,,"Sheltering shadows, a novel",novel
uc2.ark+=13960=t37082q9d,"Russell, William Clark",,,m,uk,1844-1911.,1874,,1874,1,1,v.3,London;R. Bentley;1874.,,,"The deceased wife's sister, and My beautiful neighbour",shortstories
hvd.hwiwh6,"Austen, Jane",,,f,uk,1775-1817.,1833,1814,1817,3,2,,London;Richard Bentley;Ed,Fiction,English fiction,Mansfield Park : a novel,novel
uc1.b4439362,"Gallo, Philip",,,m,us,,1983,,1983,1,1,,Omaha|The University of N,NotFiction,,Some roses,nonfic
uiuo.ark+=13960=t5q81zv8g,"Walker, George",,,m,uk,1772-1847,1803,,1803,3,3,v.1,London;Printed for G. Wal,,823W15D,Don Raphael,novel
mdp.39015016414438,"Martin, Sylvia Pass",,,f,uk,1913-,1957,,1957,1,1,,New York|Harper|c1957,Fiction,"Tussaud, Marie|Fiction|17","I, Madame Tussaud",novel
uiuo.ark+=13960=t2z32gn5j,West,"West, Jane","West, Mrs.",f,uk,1758-1852,1802,,1802,3,3,v.1,London;Printed by A. Stra,,,The infidel father,novel
uiuo.ark+=13960=t8df7873r,"Lytton, Rosina Bulwer Lytton, Baroness",,,f,uk,1802-1882,1843,,1843,2,2,v.2,London;E. Bull;1843.,,Fiction|1548-1587|Grand-D,Bianca Capello,novel
nyp.33433082297213,"Thoms, William John",,,m,uk,1803-1885.,1846,,1846,1,1,,New York;Wiley and Putnam,Juvenile audience|Fiction,Heroes|Chivalry|England|T,"Gammer Gurton's famous histories : of Sir Guy of Warwick, Sir Bevis of Hampton, Tom Hickathrift, Friar Bacon, Robin Hood, and the King and the cobbler",juvenile | shortstories
nyp.33433074859947,"Anstey, F","Guthrie, Thomas Anstey",F. Anstey,m,uk,1856-1934.,1899,1898,1899,2,2,,New York;D. Appleton;1899,Fiction,,Love among the lions : a matrimonial experience,novel
njp.32101066381979,,,,,,,1873,,1873,1,1,,Boston;American tract soc,NotFiction,England|1832-1868|Poor|Wo,"Homes and hospitals: or, Two phases of woman's work, as exhibited in the labors of Amy Dutton and Agnes E. Jones",nonfic
uiuo.ark+=13960=t80k2nk22,"Burney, Sarah Harriet",,,f,uk,1772-1844.,1816,,1816,7,7,v.2,London;H. Colburn;1816-18,Fiction,,Tales of fancy,novel
uc1.b4104441,"Ruffini, Giovanni",,,m,it,1807-1881.,1861,1855,1861,3,1,,Leipzig;B. Tauchnitz;1861,NotFiction,Italy|Fiction|History|Fic,Doctor Antonio,novel
uva.x030788126,"Ellison, Edith Nicholl Bradley",,,f,us,,1908,,1908,1,1,,New York;Broadway publish,NotFiction,,The burnt-offering,novel
mdp.39015027551335,"Chute, Marchette",,,f,us,1909-1994.,1954,,1954,2,2,,New York|Dutton|1954.,Juvenile audience|Fiction,London|Theater|Fiction|Hi,The wonderful winter,juvenile
uiuo.ark+=13960=t1bk20n9n,"Scargill, William Pitt",,,m,uk,1787-1836.,1828,,1828,3,3,v.1,London;Hunt and Clarke;18,,,"Penelope, or, Love's labour lost",novel
dul1.ark+=13960=t3126tf0n,"Bird, Robert Montgomery",,,m,us,1806-1854.,1837,,1837,2,2,v.1,"Philadelphia;Carey, Lea &",,,Nick of the woods =,novel
nyp.33433074870720,1855,,,m,us,1858-1916.,1899,,1899,2,2,,New York;Doubleday & McCl,Fiction,,"Stories of the railroad, by John A. Hill",shortstories
mdp.39015014398153,"Hunt, William Holman",,,m,uk,1827-1910.,1905,,1905,2,2,v.1,New York;London;The Macmi,NotFiction,Painters|Pre-Raphaelitism,Pre-Raphaelitism and the pre-Raphaelite brotherhood,nonfic
osu.32435066780131,"Carew, Jean","Corby, Jane","Carew, Jean",f,us,1899-,1940,,1940,1,1,,"New York|Arcadia House, I",Fiction,Fiction|Families|Death|Pa,Sing no sad songs,novel
nnc1.1002220156,"Severance, Mark Sibley",,,m,us,1846-,1878,,1878,2,2,,"Boston;Houghton, Mifflin ",Fiction,,Hammersmith: his Harvard days,nonfic
nyp.33433069339749,"M. Mignet, (Fran�ois-Auguste-Marie-Alexis)",,,m,,1796-1884.,1845,,1845,1,1,v. 1,Paris;Firmin Didot fr??re,NotFiction,1789-1815|History|Revolut,"Histoire de la re?volution franc?aise, depuis 1789 jusqu'en 1814;",nonfic
mdp.39015050558405,"Junker, Karin Stensland",,,f,swe,c. 1916-2008,1964,,1964,2,2,,New York|Abingdon Press|1,NotFiction,Children with mental disa,The child in the glass ball,novel
uc1.31158005355168,"Bj�rnson, Bj�rnstjerne",,,m,no,1832-1910.,1882,,1882,1,1,v.2,"New York;Doubleday, Page;",NotFiction,,Works of Bjo?rnstjerne Bjo?rnson,reprint
uiuo.ark+=13960=t08w42q2z,"Spender, Lily","Spender, Lillian",,f,uk,1835-1895,1879,,1879,3,3,v.3,London;Hurst and Blackett,,,Godwyn's ordeal,novel
mdp.39015051353996,"Bradbury, Malcolm",,,m,uk,1932-2000.,1987,,1987,3,3,,London|Hutchinson|1987.,Fiction,,Cuts,novel
nyp.33433081938411,"Savage, William T, Mrs",,,f,,,1865,,1865,1,1,,Boston;Loring;1865.,Fiction,,Miramichi,novel
coo.31924013535061,"Philips, F. C. (Francis Charles)",,,m,uk,1849-1921.,1914,,1914,1,1,,Leipzig;B. Tauchnitz;1914,NotFiction,,"Judas, the woman",novel
nyp.33433076029788,"Sedgwick, Catharine Maria",,,f,us,1789-1867.,1835,,1835,9,8,v. 2,New York;Published by Har,Bibliographies|Fiction,Domestic fiction|Revoluti,"The Linwoods : or, ""Sixty years since"" in America",novel
mdp.39015063544467,"Cox, Erle",,,m,au,1873-1950,1928,1925,1928,2,1,,New York|Rae D. Henkie co,Fiction,,"Out of the silence, a novel",novel
